"Address","Type","Category","Occurrences","Priority","Suggested_Label","Example_Contexts"
"$4352","Hardware","CPU Registers/DMA/PPU","4","Low","hw_4352","graphics_engine_historical.asm:stx $4352; graphics_engine_historical.asm:stx $4352; graphics_engine.asm:stx $4352"
"$191A","WRAM","WRAM (Low)","4","Low","wram_191a","graphics_engine_historical.asm:lda $191a; graphics_engine_historical.asm:lda $191a; graphics_engine.asm:lda $191a"
"$192D","WRAM","WRAM (Low)","4","Low","wram_192d","graphics_engine_historical.asm:ldy $192d; graphics_engine_historical.asm:sta $192d; graphics_engine.asm:ldy $192d"
"$192E","WRAM","WRAM (Low)","4","Low","wram_192e","graphics_engine_historical.asm:sta $192e; graphics_engine_historical.asm:inc $192e; graphics_engine.asm:sta $192e"
"$7FCE","Other","Expansion","4","Low","addr_7fce","graphics_engine_historical.asm:lda $7fcef4; graphics_engine_historical.asm:lda $7fcef6; graphics_engine.asm:lda $7fcef4"
"$4354","Hardware","CPU Registers/DMA/PPU","4","Low","hw_4354","graphics_engine_historical.asm:sta $4354; graphics_engine_historical.asm:sta $4354; graphics_engine.asm:sta $4354"
"$4355","Hardware","CPU Registers/DMA/PPU","4","Low","hw_4355","graphics_engine_historical.asm:stx $4355; graphics_engine_historical.asm:stx $4355; graphics_engine.asm:stx $4355"
"$19EF","WRAM","WRAM (Low)","4","Low","wram_19ef","graphics_engine_historical.asm:sta $19ef; graphics_engine_historical.asm:sta $19ef; graphics_engine.asm:sta $19ef"
"$4350","Hardware","CPU Registers/DMA/PPU","4","Low","hw_4350","graphics_engine_historical.asm:stx $4350; graphics_engine_historical.asm:stx $4350; graphics_engine.asm:stx $4350"
"$1900","WRAM","WRAM (Low)","4","Low","wram_1900","graphics_engine_historical.asm:stx $1900; graphics_engine_historical.asm:ldx $1900; graphics_engine.asm:stx $1900"
"$1A39","WRAM","WRAM (Low)","4","Low","wram_1a39","graphics_engine_historical.asm:sta $1a39; graphics_engine_historical.asm:lda $1a39; graphics_engine.asm:sta $1a39"
